HUC8,area_m3,precip_in
16020304,3128508000,15.52
16020305,2106699300,14.8770754
16020309,5855840100,14.16628195
16020310,4527068400,12.72478707
16020102,3421932300,27.68157006
16020101,3014361000,24.57396997
16020201,3483055800,19.07338146
16020202,2494558800,23.77134784
16020203,1776915900,29.08994219
16020204,2107849500,23.40894216
16030001,3116396700,18.77815824
16030002,3216946500,18.25072028
16030003,4796925300,17.61245434
16030004,2229835500,19.66596982
16030005,10621404900,13.2667731
16030006,8522972100,14.43295427
16030007,4472601300,14.86135643
16030008,2078929800,12.00140875
16030009,3613923000,9.818216696
16020301,8069637600,11.93883374
16020302,1896876000,12.83791938
16020303,2461885200,9.892001171
16020306,14176947600,9.092110343
16020307,3971338200,11.741556
16020308,11801572200,10.06927068
14040106,6476753700,14.32015697
14040107,7106099400,13.46205738
14040108,2500155000,12.71185454
16010201,3281331600,22.59669398
16010202,3323504700,21.89503848
16010203,2289807000,30.63273659
16010204,3242242800,20.00616548
16010101,5202965700,17.97629303
16010102,2122688700,22.72133002
14060002,1671509700,19.51800379
14060003,6938980200,19.73126705
14060004,3016119600,21.01032693
